,—éŽ­Žs,0
777,995,1033.9166666666667
778,1145,1171.3733333333332
779,1434,1390.7333333333333
780,1617,1544.47
781,1862,1817.91
782,1908,1809.9260555555554
783,1731,1714.5566666666666
784,1513,1571.4167063492066
785,1242,1234.7286666666666
786,1019,1000.4033333333333
787,851,850.616388888889
788,715,729.7766666666666
789,728,783.4255555555555
790,822,833.4
791,1225,1269.9063888888888
792,1545,1642.2633333333333
793,1476,1451.2333333333333
794,1250,1371.8005555555553
795,1173,1285.1366666666668
796,1134,1203.4766666666667
797,1096,1160.17
798,1055,1191.6741666666667
799,1018,1068.6666666666667
800,930,1030.35
801,1001,1029.18
802,1131,1150.7333333333333
803,1417,1386.9566666666667
804,1669,1586.91
805,1847,1673.93
806,1907,1834.905611111111
807,1697,1732.8966666666668
808,1490,1516.9693333333332
809,1258,1250.5966666666666
810,1007,1022.4833333333333
811,857,810.5895555555554
812,738,739.3986666666667
813,723,936.2316666666667
814,828,956.7888888888888
815,1178,1338.54
816,1534,1573.5419047619048
817,1421,1449.24
818,1237,1325.6133333333332
819,1186,1147.61
820,1148,1472.0329761904761
821,1092,1119.4666666666667
822,1059,1089.6416666666667
823,998,981.6616666666666
824,987,976.9766666666667
825,1044,1017.6133333333333
826,1186,1174.6633333333334
827,1448,1415.3966666666668
828,1701,1652.7866666666666
829,1870,1736.1533333333334
830,1853,1805.0436111111107
831,1769,1705.6266666666668
832,1496,1487.6533333333334
833,1243,1214.5733333333333
834,1060,1023.6466666666666
835,837,849.6948888888888
836,738,688.69
837,722,814.22
838,871,1048.7916666666667
839,1229,1342.3133333333333
840,1613,1565.59
841,1504,1417.467896825397
842,1310,1262.1533333333334
843,1227,1165.8
844,1168,1202.5213333333334
845,1127,1102.4733333333334
846,1101,1140.5266666666666
847,1023,1080.9997222222223
848,1012,1050.56
849,1015,1118.4
850,1122,1172.32
851,1387,1379.3611111111113
852,1601,1610.72
853,1663,1686.7266666666667
854,1794,1806.4371666666668
855,1649,1685.6275
856,1409,1474.7045555555558
857,1208,1261.2933333333333
858,1037,1013.9433333333334
859,835,843.956619047619
860,746,716.488
861,717,730.46
862,781,1033.3244444444445
863,928,1246.3766666666668
864,1332,1531.156
865,1456,1476.5133333333333
866,1455,1278.7716666666668
867,1385,1357.3066666666666
868,1262,1211.4588888888889
869,1235,1230.2322222222224
870,1228,1115.26
871,1142,1059.3866666666668
872,1102,1021.4
873,1086,1004.7966666666666
874,1205,1161.93
875,1393,1339.64
876,1511,1606.7133333333334
877,1585,1674.3066666666666
878,1721,1686.021111111111
879,1593,1667.9233333333334
880,1402,1463.318888888889
881,1205,1223.7533333333333
882,1042,1026.7233333333334
883,842,836.17
884,736,717.0833333333334
885,708,739.1000000000001
886,759,872.8933333333333
887,932,1282.8866666666668
888,1256,1560.7221666666667
889,1528,1480.1477777777777
890,1520,1291.8266666666666
891,1461,1269.2966666666666
892,1355,1149.0305555555556
893,1308,1118.1945370370372
894,1279,1158.6227777777776
895,1211,1019.35
896,1115,1043.576
897,1138,1094.3455555555556
898,1250,1130.73
899,1473,1337.7033333333334
900,1684,1649.9666666666667
901,1761,1794.8841666666667
902,1830,1877.8283333333334
903,1771,1796.03
904,1444,1596.52
905,1215,1241.242888888889
906,1000,1039.0933333333332
907,822,825.29
908,690,739.6866666666666
909,696,792.1733333333333
910,861,845.4316666666666
911,1186,1058.2163888888888
912,1557,1626.5833333333333
913,1438,1568.0833333333333
914,1246,1311.81
915,1210,1202.2633333333333
916,1111,1090.0236111111108
917,1069,1059.2966666666666
918,1057,1178.6285793650795
919,1007,1108.8333333333333
920,966,1019.7533333333333
921,999,1035.58
922,1152,1177.99
923,1418,1417.9866666666667
924,1621,1587.0
925,1824,1632.2766666666666
926,1921,1790.5890555555552
927,1710,1768.41
928,1506,1499.4196309523809
929,1221,1197.71
930,1015,1003.73
931,835,800.7033333333334
932,680,738.494761904762
933,698,723.0733333333334
934,823,924.6792658730158
935,1160,1217.2333333333333
