,Žl“úŽsŽs,0
639,282,297.28333333333336
640,200,231.94
641,157,150.172
642,101,107.25577777777778
643,89,83.96
644,70,70.99333333333334
645,114,103.4
646,224,202.17290476190476
647,348,354.14666666666665
648,368,363.5233333333333
649,321,283.62
650,254,239.97666666666666
651,198,202.08666666666667
652,174,177.04
653,155,152.78333333333333
654,185,147.87
655,153,142.33666666666667
656,134,137.9475
657,166,161.36666666666667
658,224,179.1527777777778
659,292,235.71
660,348,314.46105555555556
661,379,349.46666666666664
662,363,332.19666666666666
663,292,280.81333333333333
664,208,223.84333333333333
665,152,156.11
666,107,105.50333333333333
667,81,83.42666666666666
668,73,77.61
669,111,103.57
670,230,188.59166666666667
671,344,278.13666666666666
672,376,355.7
673,299,305.8933333333333
674,252,274.9066666666667
675,198,206.06666666666666
676,163,167.11666666666667
677,153,157.93
678,168,139.08
679,156,132.47
680,144,135.09
681,174,154.29
682,229,207.9288888888889
683,275,212.95333333333335
684,323,336.96666666666664
685,345,372.52666666666664
686,322,335.48983333333337
687,264,295.67
688,210,210.6
689,164,151.64333333333335
690,126,110.55888888888889
691,90,82.56666666666666
692,93,79.97333333333333
693,101,101.11333333333333
694,161,215.262
695,272,328.54333333333335
696,357,341.6222222222222
697,341,295.9766666666667
698,288,244.47033333333334
699,253,183.63333333333333
700,209,161.6571111111111
701,174,136.20333333333335
702,162,146.853
703,150,128.43916666666667
704,150,122.29388888888889
705,190,145.84
706,217,209.96
707,268,250.82666666666665
708,303,263.1766666666667
709,322,300.06666666666666
710,324,336.15
711,263,268.18
712,208,219.48666666666668
713,163,147.61333333333334
714,117,114.04666666666667
715,84,91.36412698412697
716,79,79.59333333333333
717,95,113.34
718,122,161.62
719,180,331.7133333333333
720,258,302.78333333333336
721,287,288.6488888888889
722,270,221.16666666666666
723,218,186.93
724,192,166.02
725,179,128.61
726,175,143.44
727,158,129.36333333333334
728,155,146.31666666666666
729,188,166.69666666666666
730,238,183.53333333333333
731,297,215.24666666666667
732,354,289.7966666666667
733,365,299.25666666666666
734,347,296.8433333333333
735,283,272.7133333333333
736,204,217.34333333333333
737,145,157.35666666666665
738,103,108.63466666666666
739,82,87.33
740,85,71.15333333333334
741,99,102.3575
742,190,232.08333333333334
743,335,308.2866666666667
744,352,322.9838888888889
745,271,261.81666666666666
746,216,220.46066666666667
747,176,184.86333333333334
748,176,159.73
749,145,138.29333333333332
750,143,146.07666666666665
751,133,141.97
752,123,137.21222222222224
753,175,157.7368888888889
754,243,205.95666666666668
755,302,240.31666666666666
756,367,271.0105555555555
757,391,308.4633333333333
758,356,344.86333333333334
759,276,279.96
760,204,212.28927777777778
761,155,165.39666666666668
762,99,123.055
763,83,89.10666666666667
764,87,73.05611111111112
765,123,73.58666666666667
766,257,187.86666666666667
767,356,341.4866666666667
768,381,312.44277777777774
769,302,258.31666666666666
770,217,214.37666666666667
771,188,168.55305555555557
772,177,147.1887777777778
773,153,159.47619047619048
774,152,168.34
775,135,137.75722222222223
776,150,129.79416666666665
777,191,177.10022222222221
778,222,191.96666666666667
779,295,278.10333333333335
780,383,288.7130555555555
781,406,314.96
782,361,326.00333333333333
783,271,279.7966666666667
784,212,219.24
785,147,155.46333333333334
786,105,106.12
787,80,94.97333333333333
788,73,88.39666666666666
789,100,198.1
790,232,204.15369444444443
791,367,334.60333333333335
792,365,332.27666666666664
793,289,278.75
794,227,210.19
795,191,188.32666666666665
796,168,148.74666666666667
797,142,148.11666666666667
798,151,155.38
799,152,140.86666666666667
800,126,138.64583333333334
801,166,168.01666666666668
802,239,197.71416666666667
803,300,277.2033333333333
804,354,282.9066666666667
805,381,315.33
806,351,347.79333333333335
807,288,280.1
808,213,216.0232777777778
809,158,160.45
810,102,116.33777777777776
811,82,91.72666666666667
812,69,84.64333333333333
813,104,83.42822222222222
814,196,196.21333333333334
815,342,335.3433333333333
816,342,315.83
817,281,284.3066666666667
818,229,213.92333333333335
819,180,177.89
820,173,146.41333333333333
821,149,169.51366666666667
822,153,151.49
823,152,161.23333333333332
824,133,145.13666666666666
825,163,153.93
826,233,227.36333333333334
827,297,286.70483333333334
828,363,285.0516666666667
829,378,327.28495238095235
830,354,322.45666666666665
831,284,273.2133333333333
832,197,211.58866666666663
833,144,164.32555555555555
834,101,124.24
835,86,88.91
836,90,77.53611111111111
837,102,105.60933333333332
838,226,279.43777777777774
839,381,359.17333333333335
840,381,335.0083333333333
841,289,263.6666666666667
842,233,221.43
843,218,178.8973888888889
844,166,171.12833333333333
845,154,154.56844444444445
846,158,149.96666666666664
847,133,140.87055555555554
848,133,147.3025
849,188,179.183
850,222,197.80833333333334
851,274,274.37916666666666
852,315,278.3
853,332,335.38666666666666
854,316,308.2633333333333
855,259,278.5566666666667
856,204,202.49333333333334
857,156,166.33333333333334
858,110,139.98333333333332
859,81,87.97333333333333
860,76,72.92666666666666
861,107,105.48
862,164,228.98671428571427
863,289,264.0466666666667
864,363,324.77666666666664
865,346,289.5466666666667
866,287,210.19
867,247,188.32666666666665
868,209,164.0
869,164,169.60666666666665
870,165,147.01
871,139,137.47666666666666
872,146,132.85194444444446
873,178,130.88666666666666
874,213,241.94333333333333
875,245,264.09
876,291,279.97
877,331,325.9166666666667
878,304,314.1433333333333
879,246,282.25
880,216,213.73
881,153,157.74
882,114,112.26733333333335
883,83,84.54
884,72,67.54313492063491
885,87,87.72666666666667
886,149,182.86833333333334
887,244,304.65
888,350,380.18333333333334
889,355,290.0233333333333
890,307,226.47
891,252,201.85
892,204,154.54
893,187,169.35333333333332
894,168,164.23666666666668
895,150,134.16472222222222
896,147,137.23666666666668
897,172,142.17
898,209,200.59777777777776
899,269,242.37666666666667
900,348,285.6666666666667
901,367,341.36
902,338,333.60261111111106
903,269,277.80333333333334
904,202,215.97333333333333
905,143,146.47333333333333
906,98,105.82722222222223
907,74,97.49333333333334
908,61,74.53722222222221
909,98,117.20333333333333
910,206,246.43166666666667
911,340,304.33666666666664
912,362,337.49666666666667
913,299,309.6066666666667
914,217,213.81333333333333
915,188,184.8
916,160,153.58333333333334
917,147,157.81866666666667
918,155,162.85
919,135,144.75333333333333
920,120,147.61333333333334
921,167,161.76333333333332
922,222,168.50333333333333
923,290,282.1933333333333
924,346,290.4888888888889
925,379,310.15
926,352,335.0133333333333
927,275,273.64666666666665
928,203,212.7415
929,153,150.61666666666667
930,95,120.27666666666667
931,84,89.60666666666667
932,71,79.88666666666667
933,105,123.98433333333334
934,213,216.98
935,340,328.17
936,362,331.8433333333333
937,272,269.6433333333334
938,236,213.09
939,171,181.87666666666667
940,162,154.44333333333333
941,143,158.432
942,147,148.76333333333332
943,151,154.75666666666666
944,131,148.29666666666665
945,167,162.22666666666666
946,215,218.82
947,289,251.88333333333333
948,345,282.6
949,381,314.37
950,356,306.99666666666667
951,282,267.29
952,198,206.138
953,145,161.10222222222225
954,93,110.87638888888891
955,84,87.72333333333333
956,66,74.33333333333333
957,107,109.98333333333333
958,200,213.25
959,329,337.78
960,346,327.0966666666667
961,245,283.3566666666667
962,197,213.46333333333334
963,170,170.75666666666666
964,143,172.56666666666666
965,149,175.37
966,152,183.75666666666666
967,141,177.12
968,138,155.65555555555554
969,175,163.18333333333334
970,234,253.14866666666663
971,289,256.30055555555555
972,339,303.6116666666667
973,402,346.89666666666665
974,373,330.46666666666664
